autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
JOSEANTONIOROCHA,"Salvador, BA","É uma maravilha da natureza e de obra de engenharia.  Do mirante pode ter uma ideia da estrada,  mas tem que descer e subir a serra. Além de ter no local vários pontos para lanche e almoço. Tem várias opções no trajeto pra todos os gostos. ",set de 2022 • Amigos,Maravilha da natureza e da engenharia!
Juu,"Águas de Lindóia, SP",Descemos e subimos de bike. Foi a melhor experiência da minha vida. Superação ! Achei que não conseguiria subir.  Creio que todo mundo tem que subir essa serra 1 x na vida. Lugar lindo demais,ago de 2022 • Casais,Paraíso de beleza natural
Carol Conde,"Rio de Janeiro, RJ","Nosso roteiro incluia a subida da serra e foi a melhor escolha! A experiência de subir parando nos mirantes é incrível! Chegamos ao topo as 11:45, o melhor horário para visibilidade! Maravilhoso! Faz falta um mirante melhor la em cima!",jul de 2022 • Casais,A SUBIDA É MELHOR!
Roseane P,"Maringá, PR","Passeio encantador, a serra gaúcha  é  muito impressionante, descia noite, e subi desci a serra pela manhã, subir a serra é  com toda certeza  a melhor escolha, parar nos mirantes, vale muito a pena",jul de 2022 • Casais,Surpreendente 
daltonras,"Teresópolis, RJ","Lugar incrível. As condições da pista podiam ser melhores, mas o visual e as curvas são sensacionais, principalmente se a viagem for de moto.",mai de 2022,Estrada incrível
Jorge B,"Curitiba, PR","Passeio muito legal. No caminho de Urubici até a serra tem diferentes tipos de verde, com muitas araucárias, bem bonito. Chegando na serra, vale a pena descer até uma grande cascata do lado esquerdo. Dali pra baixo já não tem muito diferencial. Cuidado com os caminhões nas curvas porque não respeitam muito, um quase bateu se não tivesse buzinado e dado ré. Vale a experiência e a vista. Uma estrada espetacular.",jun de 2022 • Família,Serra sensacional
Gilberto P,45 contribuições,"Visual incrível, traçado com muitas curvas e estreito em alguns pontos, o que requer atenção. Depende do tempo pra aproveitar mais, mas tive sorte e peguei dia de sol. Paradas com recepção de quatis, cachoeiras e mirantes. Imperdível!",mai de 2022 • Casais,Visual imperdível!
Izabel R,"Campo Novo do Parecis, MT","É a terceira vez que passamos pela Serra do Rio do Rastro. E todas a vezes ficamos encantados e emocionados. Já passamos por ela toda coberta de neblina, num dia de sol, e desta vez, tivemos a felicidade de vê-la em sua totalidade, num dia muito claro e bonito. Sus curvas, vegetação, flores, montanhas, seus picos… tudo é maravilhoso. Fica na Rodovia SC 390, entre os municípios de Lauro Müller e Bom Jardim da Serra. Para mim, é uma das Serras mais lindas que já vimos. Não deixa de ser perigosa, mas ao mesmo tempo, é muito segura. Toda ela é asfaltada, tem alguns defeitinhos, mas nada que comprometa. E nos veículos que passam por aí (um número sem fim), as pessoas estão ali para admirar e curtir momentos muito especiais junto a exuberante natureza desta incrível obra, de Deus e de homens.",abr de 2022 • Casais,Serra Maravilhosa
Viajantegaucho,"Porto Alegre, RS","Sensacional estrada que sobe a Serra do Rio do Rastro, certamente está entre as mais sinuosas do mundo. São 284 curvas numa aventura divertida e, dentro do possível, segura. Vários pontos de parada permitem curtir o lindo visual e ser assediado pelos Quatis que saem da mata para receber os turistas...Programa inesquecível e altamente recomendável àqueles que curtem alguma emoção!",abr de 2022,Curvas Inesquecíveis...
Israel Pires,25 contribuições,Já fui 4 vezes na serra. ,mar de 2022 • Amigos,Serra do Rio do Rasto!
Fabioctba,"Curitiba, PR","Localizada no município de Lauro Muller , trajeto com muitas curvas fechadas (complicado quando se cruza com caminhões e ônibus) e ao contrário da serra do Corvo  Branco é toda pavimentada. A vista panorâmica de seus mirantes são deslumbrantes, muitas cachoeiras e natureza riquíssima. Passeio daqueles que se deve fazer antes de morrer.",mar de 2022 • Família,Serra do Rio do Rastro
Lanah Silveira,"Pelotas, RS",Lugar incrível de visitar! É a terceira vez que subo a serra e é sempre uma experiência sensacional! A vista lá de cima é linda demais! ,fev de 2022 • Família,Maravilhoso
Acir B,"Curitiba, PR",Fazia muito tempo que não passava por lá. Me impressionei com a estrutura hoje montada no topo. ,jan de 2022 • Casais,Fantástico!
heckmann17183,"Porto Alegre, RS","Na parte baixa da Serra está Lauro Muller. Na parte alta está Bom Jardim da Serra. Muito bom dirigir nas 241 curvas, pois os veículos tem que andar em baixa  velocidade e assim se aprecia a vista",jan de 2022 • Casais,Lauro Muller na parte baixa. Bom Jardim da Serra na parte alta
Nédia,"Brasília, DF",A estrada mais fantástica que tive o privilégio de conhecer. Ela tem 284 curvas (não contei rsrs) o que torna o passeio emocionante. Tem mirantes no caminho para poder admirar a exuberante vista. A estrada foi recém reformada. Vale à pena conhecer.,dez de 2021 • Família,Estrada que impressiona
